key;notes
TOP_UP;Top Up
WITHDRAW;Withdraw
TRANSFER_IN;Transfer Between User
TRANSFER_OUT;Transfer to external System
RECEIVE_TRANSFER;Receive Transfer
RECEIVE_PAYROLL;Receive Payroll {}
TRANSFER_FEE;Transfer Fee
PAYROLL;Disburse Payroll
REFUND;Transaction Refund
AUTO_DEBIT;Auto Debit Payment
AUTO_PAY;Auto Payment {}
