key;description
TOP_UP;Top up balance {} from Virtual Account
WITHDRAW;Withdraw balance {}
TRANSFER;Transfer Balance {}
BANK_TRANSFER;Transfer to Bank {}
RECEIVE_TRANSFER;Receive Balance {}
RECEIVE_PAYROLL;Receive Payroll {}
TRANSFER_FEE;Transfer Fee {}
PAYROLL;Disburse Payroll {}
DEBIT_REFUND;Transaction Debit Refund {}
CREDIT_REFUND;Transaction Credit Refund {}
AUTO_DEBIT;Auto Debit Payment {}
AUTO_PAY;Auto Payment {}
